epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.596,1.8767,2.46836,1.45835,0.7873,0.25826,0.61935,0.30773,1.54907,3.1063,1.21756,0.000409836,0.000409836,0.000409836
2,296.176,1.64913,1.44354,1.34947,0.65466,0.79423,0.71546,0.38887,1.58888,1.78052,1.33058,0.000812865,0.000812865,0.000812865
3,439.268,1.61065,1.32045,1.35922,0.69488,0.76097,0.71507,0.40594,1.52929,1.27895,1.39421,0.00120214,0.00120214,0.00120214
4,584.28,1.54739,1.21725,1.33442,0.67356,0.67978,0.69286,0.32475,1.8105,1.54649,1.68624,0.00118812,0.00118812,0.00118812
5,728.535,1.53727,1.1786,1.3335,0.8094,0.88473,0.89205,0.50162,1.62829,1.15996,1.45477,0.0011675,0.0011675,0.0011675
6,870.552,1.52511,1.08902,1.31407,0.81552,0.84563,0.86672,0.50483,1.54619,1.21804,1.40554,0.00114688,0.00114688,0.00114688
7,1012.48,1.52298,1.0602,1.32259,0.77237,0.85541,0.84539,0.48533,1.55925,1.06104,1.40554,0.00112625,0.00112625,0.00112625
8,1153.91,1.47994,0.99439,1.29989,0.78497,0.82817,0.8296,0.47587,1.54279,1.09196,1.40503,0.00110563,0.00110563,0.00110563
9,1295.53,1.4827,0.98202,1.30227,0.71645,0.8647,0.76972,0.44476,1.55979,1.12437,1.44621,0.001085,0.001085,0.001085
10,1438.39,1.45556,0.93726,1.28722,0.81776,0.84663,0.8574,0.52444,1.48538,0.92834,1.36187,0.00106437,0.00106437,0.00106437
11,1582.06,1.45564,0.87376,1.2721,0.80579,0.89053,0.89077,0.55681,1.45513,0.87929,1.36239,0.00104375,0.00104375,0.00104375
12,1725.82,1.45206,0.87716,1.26896,0.81519,0.90392,0.89641,0.56029,1.49391,0.87178,1.37372,0.00102312,0.00102312,0.00102312
13,1869.52,1.46374,0.87726,1.29157,0.82933,0.91737,0.88889,0.55895,1.50122,0.81696,1.40009,0.0010025,0.0010025,0.0010025
14,2014.32,1.42336,0.82531,1.26327,0.85251,0.81496,0.86976,0.55334,1.48079,0.84552,1.36171,0.000981875,0.000981875,0.000981875
15,2158.74,1.43038,0.815,1.27692,0.82666,0.87963,0.90083,0.56346,1.49636,0.82351,1.35872,0.00096125,0.00096125,0.00096125
16,2309.23,1.43311,0.80576,1.26746,0.84498,0.8896,0.91759,0.58366,1.46134,0.7813,1.36063,0.000940625,0.000940625,0.000940625
17,2460.81,1.41796,0.78931,1.26712,0.82326,0.93096,0.92574,0.6043,1.43548,0.78078,1.35313,0.00092,0.00092,0.00092
18,2613.14,1.40302,0.7763,1.26665,0.85573,0.83935,0.90054,0.57133,1.44428,0.7961,1.36086,0.000899375,0.000899375,0.000899375
19,2764.44,1.38723,0.7784,1.26097,0.85775,0.89136,0.90915,0.57303,1.46896,0.77527,1.38631,0.00087875,0.00087875,0.00087875
